domainID	domainName
cd08062	26S proteasome regulatory subunit
PRK10188	transcriptional regulator SdiA
pfam12955	DUF3844 domain-containing protein
cd17335	major facilitator superfamily domain-containing protein 6
cd08528	serine/threonine-protein kinase Nek10
TIGR00804	NupC/NupG family nucleoside CNT transporter
pfam15350	Ewing s tumor-associated antigen 1
TIGR04259	OFA family MFS transporter
COG1592	rubrerythrin family protein
cl27458	RAD1 family protein
cd08839	stromal membrane-associated family protein
cd01629	acireductone synthase
cd03340	T-complex protein 1 subunit eta
cd00305	superoxide dismutase family protein
PRK08640	succinate dehydrogenase iron-sulfur subunit
cd00761	glycosyltransferase family 2 protein
pfam05168	HEPN domain-containing protein
pfam11515	cullin-9
pfam13786	anti-sigma-V factor rsiV
COG0820	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
cl39066	aminomethyltransferase family protein
PRK15059	2-hydroxy-3-oxopropionate reductase
pfam05063	S-adenosylmethionine-binding domain-containing protein
pfam07526	BEL1-like homeodomain protein
cd06353	BMP family ABC transporter substrate-binding protein
PRK04200	cofactor-independent phosphoglycerate mutase
cd20536	cyclin-O
cd06222	E3 ubiquitin protein ligase
cl02633	ARID/BRIGHT DNA-binding domain-containing protein
NF038214	ATP-binding protein
cd06329	branched-chain amino acid ABC transporter substrate-binding protein
cd16104	ubiquitin carboxyl-terminal hydrolase
pfam02667	TIGR00366 family protein
PRK10306	metal-binding protein ZinT
COG2236	phosphoribosyltransferase
pfam09648	two-component system regulatory protein YycI
pfam10856	TMEM243 family protein
TIGR02018	GntR family transcriptional regulator
pfam14069	stage VI sporulation protein F
CHL00033	photosystem I assembly protein Ycf3
cl16219	CCDC174 family protein
pfam13714	isocitrate lyase/phosphoenolpyruvate mutase family protein
cl00481	preprotein translocase subunit SecE
cd03018	peroxiredoxin
PRK10767	molecular chaperone DnaJ
pfam07221	AGE family epimerase/isomerase
cd01789	TBCB family protein
PTZ00159	60S ribosomal protein L32
pfam00162	phosphoglycerate kinase
pfam04363	YeeX family protein
TIGR03314	putative aminohydrolase SsnA
COG4231	indolepyruvate ferredoxin oxidoreductase subunit alpha
cl26621	clathrin interactor 1
PRK07769	AMP-binding protein
PTZ00255	eL43 family ribosomal protein
cd18331	B-cell lymphoma 6 family protein
cl34897	glycylpeptide N-tetradecanoyltransferase
PRK13524	TonB-dependent siderophore receptor
pfam03959	alpha/beta hydrolase
pfam00672	adenylate/guanylate cyclase domain-containing protein
PRK12366	replication factor A
COG5273	ankyrin repeat domain-containing DHHC palmitoyltransferase family protein
COG0794	KpsF/GutQ family sugar isomerase
smart00750	tyrosine-protein phosphatase non-receptor type 13
TIGR03401	cyanamide hydratase
COG2079	MmgE/PrpD family protein
cd12446	RNA-binding protein
PRK10735	metalloprotease TldD
TIGR02294	nickel ABC transporter, nickel/metallophore periplasmic binding protein
pfam00505	HMG-box domain-containing protein
pfam09835	DUF2062 domain-containing protein
