DiseaseID	DiseaseName
MESH:D051677	Histiocytoma, Malignant Fibrous
DOID:0111866	Trichothiodystrophy
MESH:C566982	Asphyxiating Thoracic Dystrophy 2
MESH:D053560	Ichthyosis Bullosa of Siemens
MESH:C538150	Syndactyly Cenani Lenz type
DOID:1383	Sweat gland disease
DOID:0050702	Neonatal period electroclinical syndrome
MESH:D007966	Leukodystrophy, Metachromatic
MESH:C563671	Cone-Rod Dystrophy 11
MESH:C566449	Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency
MESH:C537451	MEHMO syndrome
MESH:C565462	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
MESH:D020786	Hemangioma, Cavernous, Central Nervous System
MESH:D011087	Polycythemia Vera
DOID:3765	Pseudohermaphroditism
MESH:C535538	Iris hypoplasia and glaucoma
MESH:C567572	Fibrosis Of Extraocular Muscles, Congenital, 3A, with or without Extraocular Involvement
MESH:C535916	Cartilage-hair hypoplasia
MESH:C563409	Arrhythmogenic Right Ventricular Dysplasia, Familial, 2
MESH:C567166	Leukodystrophy, Hypomyelinating, 5
MESH:C536423	Progeroid syndrome, neonatal
ICD10:E771	Defects in glycoprotein degradation
MESH:D008363	alpha-Mannosidosis
DOID:626	Complement deficiency
MESH:D017246	Ophthalmoplegia, Chronic Progressive External
DOID:0080153	Medium chain acyl-CoA dehydrogenase deficiency
MESH:D011085	Polycystic Ovary Syndrome
MESH:C562725	Prekallikrein Deficiency
ICD10:N399	Disorder of urinary system  unspecified
MESH:C536695	Weyers acrofacial dysostosis
MESH:D052245	Usher Syndromes
DOID:0050778	Meckel syndrome
ICD10:K70	Alcoholic fatty liver
MESH:C565607	Schopf-Schulz-Passarge Syndrome
MESH:D009135	Muscular Diseases
MESH:C537466	Microphthalmia, syndromic 7
MESH:D006970	Disorders of Excessive Somnolence
DOID:0112072	Nuclear type mitochondrial complex I deficiency 20
MESH:C537421	Cafe au lait spots, multiple
MESH:D019571	Arrhythmogenic Right Ventricular Dysplasia
DOID:0050570	Congenital disorder of glycosylation type I
ICD10:C692	Malignant neoplasm of unspecified retina
ICD10:Q04	Congenital malformations of corpus callosum
MESH:C537415	Buschke-Ollendorff syndrome
DOID:0070297	Primary microcephaly
MESH:C566822	Perry Syndrome
MESH:C565840	Long Qt Syndrome 3
DOID:9821	Choroideremia
MESH:C536832	Glutamine deficiency, congenital
DOID:576	Proteinuria
MESH:D005076	Exanthema
ICD10:I713	Abdominal aortic aneurysm  ruptured  unspecified
MESH:D002543	Cerebral Hemorrhage
MESH:C564288	Dystonia 18
DOID:0081007	RNASET2-deficient cystic leukoencephalopathy
MESH:C567706	Amelogenesis Imperfecta, Hypomaturation Type, Iia3
MESH:C562785	Idiopathic Hypogonadotropic Hypogonadism
AmyCo:63	Enfuvirtide-induced Amyloidosis
DOID:1247	Blood coagulation disease
ICD10:Q042	Holoprosencephaly
DOID:0111527	Spinal muscular atrophy with progressive myoclonic epilepsy
DOID:0060121	Integumentary system benign neoplasm
MESH:C565145	Craniometaphyseal Dysplasia, Autosomal Dominant
MESH:D017116	Low Back Pain
ICD10:K5	Crohn's disease of small intestine without complications
DOID:0060339	Chronic atrial and intestinal dysrhythmia
MESH:C566432	Diabetes Mellitus, Transient Neonatal, 3
MESH:C537204	Spinocerebellar ataxia 27
MESH:D020300	Intracranial Hemorrhages
MESH:C535887	Leukocyte adhesion deficiency type 1
MESH:C536170	Diastrophic dysplasia
DOID:2590	Familial nephrotic syndrome
MESH:D000745	Anemia, Hemolytic, Congenital
MESH:D017114	Liver Failure, Acute
MESH:D011537	Pruritus
MESH:C537303	Griscelli syndrome type 3
MESH:C536940	Absent radii and thrombocytopenia
ICD10:D56	Alpha thalassemia
DOID:0110768	Hereditary spastic paraplegia 15
MESH:C565970	Hypodysfibrinogenemia, Congenital
MESH:C567147	Amelogenesis Imperfecta, Type Ic
ICD10:Q772	Short rib syndrome
MESH:D053549	Pachyonychia Congenita
ICD10:H54	Blindness  both eyes
MESH:C562419	Blepharophimosis, Ptosis, and Epicanthus Inversus
DOID:0060178	Familial hemiplegic migraine
MESH:D007410	Intestinal Diseases
DOID:1059	Intellectual disability
ICD10:N39	Urinary tract infection  site not specified
MESH:D012618	Sea-Blue Histiocyte Syndrome
DOID:1561	Cognitive disorder
ICD10:F33	Major depressive disorder  recurrent  mild
MESH:C535880	Johanson Blizzard syndrome
MESH:C536614	Arthrogryposis multiplex congenita neurogenic type
MESH:C535813	Neuropathy, hereditary motor and sensory, Russe type
MESH:C564921	Osteogenesis Imperfecta, Type IX
ICD10:C67	Malignant neoplasm of trigone of bladder
ICD10:C729	Malignant neoplasm of central nervous system  unspecified
MESH:C562603	Trehalase Deficiency
MESH:C563808	Arrhythmogenic Right Ventricular Dysplasia, Familial, 9
DOID:1205	Allergic disease
MESH:C536051	Osteolysis hereditary multicentric
MESH:C563678	Retinal Cone Dystrophy 3B
DOID:12308	Dubin-Johnson syndrome
MESH:D005351	Fibromatosis, Gingival
DOID:0050336	Hypophosphatemia
DOID:0080001	Bone disease
MESH:C566646	Paragangliomas 2
MESH:C564597	Cone-Rod Dystrophy 10
MESH:C536193	Ehlers-Danlos syndrome caused by tenascin-X deficiency
MESH:C563990	Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy
MESH:C567410	Orofacial Cleft 11
MESH:D002311	Cardiomyopathy, Dilated
DOID:0080344	Blepharocheilodontic syndrome
MESH:C535532	Congenital idiopathic intestinal pseudoobstruction
MESH:C535460	Chylomicron retention disease
MESH:C536816	Distal myopathy, Nonaka type
MESH:C567651	Deafness, Autosomal Recessive 79
MESH:D052537	Niemann-Pick Disease, Type B
MESH:D006956	Hyperopia
ICD10:Q93	Whole chromosome monosomy nonmosaic (meiotic nondisjunction)
DOID:905	Zellweger syndrome
MESH:C563627	Platyspondylic Lethal Skeletal Dysplasia, Torrance Type
MESH:C567125	Combined Saposin Deficiency
MESH:C565476	Hypoproteinemia, Hypercatabolic
ICD10:E742	Disorders of galactose metabolism  unspecified
MESH:D012751	Sezary Syndrome
MESH:D019586	Intracranial Hypertension
DOID:0050437	Danon disease
ICD10:K44	Diaphragmatic hernia with obstruction  without gangrene
MESH:C566611	Deafness, Autosomal Recessive 15
MESH:D055963	Asthma, Aspirin-Induced
MESH:C566947	Mental Retardation, Autosomal Dominant 1
DOID:0070348	Spinal muscular atrophy with lower extremity predominant
MESH:C564320	Neutropenia, Nonimmune Chronic Idiopathic, Adult
DOID:2468	Psychotic disorder
MESH:C537761	Renpenning syndrome 1
MESH:C565626	Diastrophic Dysplasia, Broad Bone-Platyspondylic Variant
MESH:C562694	Epilepsy, Idiopathic Generalized
MESH:D038261	Alexander Disease
MESH:C565126	Darier Disease, Segmental
MESH:D056587	Cryopyrin-Associated Periodic Syndromes
MESH:D003920	Diabetes Mellitus
MESH:D014808	Vitamin D Deficiency
MESH:C567677	Corneal Dystrophy, Fuchs Endothelial, 4
MESH:C536258	Pyruvate dehydrogenase phosphatase deficiency
MESH:C538225	Adams Oliver syndrome
ICD10:E72	Disorders of amino-acid transport  unspecified
ICD10:L23	Allergic contact dermatitis due to metals
MESH:C565772	Spinocerebellar Ataxia 11
DOID:14500	Fucosidosis
ICD10:E237	Disorder of pituitary gland  unspecified
MESH:C536065	Oto-Palato-digital syndrome type 1
MESH:D065631	Rhinitis, Allergic
MESH:D006429	Hemiplegia
MESH:D005598	Fractures, Spontaneous
DOID:4	Disease
MESH:C562876	Carboxypeptidase N Deficiency
MESH:C565394	Methylcobalamin Deficiency, CblG Type
DOID:0060254	Robinow syndrome
MESH:D002340	Carotid Artery Diseases
MESH:D016715	Proteus Syndrome
MESH:D010871	Pinealoma
DOID:13884	Sick sinus syndrome
MESH:C535388	Arts syndrome
MESH:C567063	Mental Retardation, X-Linked, Syndromic 14
